Datetime,Tweet Id,Text
2021-11-05 05:07:22,1456488285023313923,https://t.co/E2k1M0Jq9k
2021-11-04 19:55:59,1456349525925261336,RT @TwitterSpaces: have friends not on Twitter? that's weird but now you can share direct links to your Spaces and they can listen in via w…
2021-11-04 16:35:23,1456299043697487876,"RT @compass_mining: The Navajo people have suffered decades of financial abuse from the US government. 

Now they're mining Bitcoin. 

This…"
2021-11-04 04:40:21,1456119098492944384,"RT @strongblacklead: Our favorite trivia from #TheHarderTheyFall might be the fact that the train is named after our forever king, Chadwick…"
2021-11-04 03:50:51,1456106644492861448,"Wow this is excellent #TheHarderTheyFall
https://t.co/LTOv9fKZ8P"
2021-11-03 23:15:38,1456037380394143750,RT @gladstein: Tremendously sad that the US won’t lead the way on this.
2021-11-03 18:54:34,1455971684687626241,"RT @ashevat: This is a super important launch!🚀
Not only can you Tweet in V2 today- We are also releasing new capabilities:
1) Tweet with p…"
2021-11-03 17:55:16,1455956757944025091,RT @mosseri: Very excited about this… it’s long overdue.
2021-11-03 17:44:00,1455953925530476546,@adamcurry @Twitter @ademcurry will look into it. I don't know if federation necessarily fixes this issue...but we'… https://t.co/srhBIfliY4
2021-11-03 17:06:07,1455944391604850689,@saylor Not yet...
2021-11-03 17:03:00,1455943605567119362,"RT @CashApp: Cash App is now available to everyone 13+, with parent or guardian approval. Send, save, and design your own debit card. #Cash…"
2021-11-03 17:02:43,1455943535727841280,Cash App is now available for everyone 13 and older https://t.co/TeK8uPQ9Tt
2021-11-03 17:01:59,1455943350817681409,@mrdonut @CashApp a start: https://t.co/TeK8uPQ9Tt
2021-11-03 15:22:07,1455918216316743683,"RT @palakzat: On this day and this exact minute in 2006, @rsa invented the @ Reply feature of Twitter. This is the first-ever @ Reply on Tw…"
2021-11-01 16:42:16,1455213611526209551,John @ID_AA_Carmack is amazing https://t.co/062bPtTYcG
2021-10-31 19:29:10,1454893228658884616,https://t.co/AJ1hI8p3u8
2021-10-31 15:42:22,1454836151366275072,"RT @elonmusk: @DrEliDavid But it must be open source accounting, so the public sees precisely how the money is spent."
2021-10-31 15:28:03,1454832545745358855,"RT @0xtr1: Reminder that you can get the Bitcoin whitepaper from your own node. If you have a full node, run the following command"
2021-10-31 07:21:00,1454709976346157057,"""I've been working on a new electronic cash system that's fully peer-to-peer, with no trusted third party.""… https://t.co/0Vr35DN8W4"
2021-10-31 06:29:41,1454697063132778501,"RT @TIDAL: Hall of Fame Hov, I did it all without a pen. 

Y'all knew that was comin I had to remind y'all again. https://t.co/yqSQS0luGV"
2021-10-31 06:29:22,1454696984426602501,"RT @sc: Thank you to everyone in that video package , I’m definitely gonna cry in the car ."
2021-10-31 03:23:16,1454650148911411200,apps have distracted me from just how powerful the web is
2021-10-30 21:21:02,1454558992525496327,@buzz Now do metaverse
2021-10-30 19:28:19,1454530624069406721,"RT @rockhall: We'll see you soon, JAY-Z, to forever cement that spot. Don't forget to tune into the red carpet at 5p EST: https://t.co/96Eo…"
2021-10-30 17:53:09,1454506673767211008,damn https://t.co/PpurwD8lqB
2021-10-30 17:02:39,1454493965504286728,RT @TIDAL: Celebrating 60 years of @thetemptations. https://t.co/Eo2Ntc3He4
2021-10-30 13:43:35,1454443869605490690,great interview https://t.co/cDhETkn3Dw
2021-10-30 06:01:23,1454327554630766594,damn https://t.co/hirXmxa2gS
2021-10-30 05:53:19,1454325521886552073,"is there a more honest market than Bitcoin?

(obviously I don't think so)"
2021-10-30 05:02:51,1454312823685726220,@mrdonut @CashApp working on it
2021-10-29 22:54:38,1454220157220364288,Hiro https://t.co/DKtVzNJakL
2021-10-29 22:11:41,1454209348410900485,RT @compound248: Recorded Spaces are here - there is a reason $TWTR is giving Spaces the VERY BEST real estate on its app (top bar + bottom…
2021-10-29 22:07:30,1454208295447629827,"RT @ASAPferg: THANK YOU @TIDAL @ElliottWilson @jack 
https://t.co/XkK2JlG5uT https://t.co/uDxBbWdj56"
2021-10-29 21:36:20,1454200454808682498,"RT @Shmurda: THANK YOU @TIDAL @jack

https://t.co/ATkeblMRsd https://t.co/28EWsWZJv7"
2021-10-29 19:28:01,1454168163382300673,@TomBalawejder neither
2021-10-29 19:18:14,1454165699983667201,"what's measured matters
https://t.co/PInFfExuhB
https://t.co/Yuy4Hjlosv"
2021-10-28 23:46:39,1453870861828558851,@BessingerKrista 🙏
2021-10-28 22:35:59,1453853075995648000,@dhof Meta
2021-10-28 19:57:47,1453813265868353536,"RT @dhof: just call it hyperverse

""Hypermedia, an extension of the term hypertext, is a nonlinear medium of information that includes grap…"
2021-10-28 19:49:27,1453811169337110540,RT @Wendys: Changing name to Meat
2021-10-28 19:09:31,1453801118727737352,RT @kayvz: we're starting to roll out RECORDING 🔴 for Spaces on iOS!
2021-10-28 18:24:17,1453789734791090189,meta: referring to itself or to the conventions of its genre; self-referential.
2021-10-28 00:46:14,1453523465919627264,rusty 🎄 https://t.co/JtApg2lyod
